"gene","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Fgf22",67112,"fibroblast growth factor 22, transcript variant X1","ENSMUSG00000020327","2210414E06Rik","10","protein_coding","increased circulating cholesterol level","FGF22"
"Slc6a6",21366,"solute carrier family 6 (neurotransmitter transporter, taurine), member 6, transcript variant X4","ENSMUSG00000030096","Taut","6","protein_coding","abnormal freezing behavior","SLC6A6"
"Xist",213742,"inactive X specific transcripts, transcript variant 2","ENSMUSG00000086503",NA,"X","lncRNA","abnormal DNA methylation",NA
"Ddx3y",26900,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 3, Y-linked","ENSMUSG00000069045","8030469F12Rik","Y","protein_coding",NA,"DDX3Y"
"Eif2s3y",26908,"eukaryotic translation initiation factor 2, subunit 3, structural gene Y-linked, transcript variant X2","ENSMUSG00000069049","Eif-2gy","Y","protein_coding","abnormal spermatid morphology",NA
"Kdm5d",20592,"lysine (K)-specific demethylase 5D, transcript variant X1","ENSMUSG00000056673","HY","Y","protein_coding",NA,"KDM5D"
"Uty",22290,"ubiquitously transcribed tetratricopeptide repeat gene, Y chromosome, transcript variant X10","ENSMUSG00000068457","Hydb","Y","protein_coding","no abnormal phenotype detected","UTY"
"Eif2s3x",26905,"eukaryotic translation initiation factor 2, subunit 3, structural gene X-linked","ENSMUSG00000035150","Eif-2gx","X","protein_coding","decreased circulating phosphate level","EIF2S3B"
"Kdm6a",22289,"lysine (K)-specific demethylase 6A, transcript variant X1","ENSMUSG00000037369","Utx","X","protein_coding","abnormal brain development","KDM6A"
"Casp12",12364,"caspase 12, transcript variant X1","ENSMUSG00000025887",NA,"9","protein_coding","increased grip strength","CASP12"
"Ddx3x",13205,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked, transcript variant X2","ENSMUSG00000000787","D1Pas1-rs2","X","protein_coding","abnormal placenta vasculature","DDX3X"
"Prl2c3",18812,"prolactin family 2, subfamily c, member 3, transcript variant X2","ENSMUSG00000056457","MRP-2","13","protein_coding",NA,"PRL"
"Casp1",12362,"caspase 1","ENSMUSG00000025888","Caspase-1","9","protein_coding","growth/size/body region phenotype","CASP1"
"Pbdc1",67683,"polysaccharide biosynthesis domain containing 1, transcript variant 2","ENSMUSG00000031226","2610029G23Rik","X","protein_coding",NA,"PBDC1"
"Kdm5c",20591,"lysine (K)-specific demethylase 5C, transcript variant X5","ENSMUSG00000025332","D930009K15Rik","X","protein_coding","preweaning lethality complete penetrance","KDM5C"
"Ctxn2",381418,"cortexin 2, transcript variant X4","ENSMUSG00000074872","LOC381418","2","protein_coding",NA,"CTXN2"
"Ldoc1",434784,"leucine zipper, down-regulated in cancer 1","ENSMUSG00000057615","LOC245441","X","protein_coding","abnormal maternal nurturing","LDOC1"
"Gpr179",217143,"G protein-coupled receptor 179","ENSMUSG00000070337","5330439C02Rik","11","protein_coding","abnormal cone electrophysiology","GPR179"
"Pou4f1",18996,"POU domain, class 4, transcription factor 1, transcript variant X3","ENSMUSG00000048349","Brn-3","14","protein_coding","abnormal cranial ganglia morphology","POU4F1"
"Tmprss3",140765,"transmembrane protease, serine 3, transcript variant X2","ENSMUSG00000024034",NA,"17","protein_coding","abnormal cochlea morphology","TMPRSS3"
"Prl2c2",18811,"prolactin family 2, subfamily c, member 2, transcript variant X1","ENSMUSG00000079092","MRP-1","13","protein_coding",NA,"PRL"
"Slc35b1",110172,"solute carrier family 35, member B1, transcript variant X1","ENSMUSG00000020873","Ugalt2","11","protein_coding",NA,"SLC35B1"
"Myoc",17926,"myocilin","ENSMUSG00000026697","GLC1A","1","protein_coding","abnormal intraocular pressure","MYOC"
"Cartpt",27220,"CART prepropeptide, transcript variant 2","ENSMUSG00000021647","Cart","13","protein_coding","abnormal cecum morphology","CARTPT"
"Tchh",99681,"trichohyalin","ENSMUSG00000052415","AHF","3","protein_coding",NA,"TCHH"
"H2-Q2",15013,"histocompatibility 2, Q region locus 2, transcript variant X1","ENSMUSG00000091705","Gm11132","17","protein_coding",NA,"HLA-E"
"Ascl1",17172,"achaete-scute complex homolog 1 (Drosophila)","ENSMUSG00000020052","ASH1","10","protein_coding","abnormal enteric neuron morphology","ASCL1"
"Crhr1",12921,"corticotropin releasing hormone receptor 1, transcript variant X1","ENSMUSG00000018634","CRF 1 receptor","11","protein_coding","abnormal adrenal gland zona fasciculata morphology","LINC02210-CRHR1"
"Gm4017",100042763,NA,"ENSMUSG00000101059",NA,"Y","processed_pseudogene",NA,NA
"Impg1",63859,"interphotoreceptor matrix proteoglycan 1, transcript variant X1","ENSMUSG00000032343","A930015H12Rik","9","protein_coding","decreased exploration in new environment","IMPG1"
"Rxfp3",239336,"relaxin family peptide receptor 3","ENSMUSG00000060735","Rln3r1","15","protein_coding","abnormal heart left ventricle morphology",NA
"AI504432",229694,"expressed sequence AI504432","ENSMUSG00000056145",NA,"3","lncRNA",NA,NA
"Mpo",17523,"myeloperoxidase","ENSMUSG00000009350",NA,"11","protein_coding","abnormal metabolism","MPO"
"Oxtr",18430,"oxytocin receptor","ENSMUSG00000049112","OTR","6","protein_coding","abnormal brain morphology","OXTR"
"Usp2",53376,"ubiquitin specific peptidase 2, transcript variant 3","ENSMUSG00000032010","B930035K21Rik","9","protein_coding","decreased mean corpuscular volume","USP2"
"Lor",16939,"loricrin","ENSMUSG00000043165",NA,"3","protein_coding","abnormal heart morphology",NA
"Srrm4",68955,"serine/arginine repetitive matrix 4, transcript variant X1","ENSMUSG00000063919","1500001A10Rik","5","protein_coding","decreased circulating LDL cholesterol level","SRRM4"
"Slc35g1",240660,"solute carrier family 35, member G1","ENSMUSG00000044026","D330039I19Rik","19","protein_coding","decreased circulating triglyceride level","SLC35G1"
"Tceal6",66104,"transcription elongation factor A (SII)-like 6","ENSMUSG00000031409","1500026B10Rik","X","protein_coding",NA,"TCEAL3"
"Dach2",93837,"dachshund 2 (Drosophila), transcript variant 5","ENSMUSG00000025592","9430028N04Rik","X","protein_coding","no abnormal phenotype detected","DACH2"
"Lgr6",329252,"leucine-rich repeat-containing G protein-coupled receptor 6, transcript variant X1","ENSMUSG00000042793","A530037C04Rik","1","protein_coding","no abnormal phenotype detected","LGR6"
"Kcna4",16492,"potassium voltage-gated channel, shaker-related subfamily, member 4","ENSMUSG00000042604","Kv1.4","2","protein_coding","seizures","KCNA4"
"Zfyve28",231125,"zinc finger, FYVE domain containing 28, transcript variant X1","ENSMUSG00000037224","9630058O20Rik","5","protein_coding","decreased circulating LDL cholesterol level","ZFYVE28"
"Hps4",192232,"Hermansky-Pudlak syndrome 4 homolog (human), transcript variant X3","ENSMUSG00000042328","2010205O06Rik","5","protein_coding","abnormal choroid pigmentation","HPS4"
"Ucp3",22229,"uncoupling protein 3 (mitochondrial, proton carrier)","ENSMUSG00000032942","Slc25a9","7","protein_coding","abnormal cellular respiration","UCP3"
"Mettl17",52535,"methyltransferase like 17","ENSMUSG00000004561","2310032K15Rik","14","protein_coding",NA,"METTL17"
"Atg9b",213948,"autophagy related 9B","ENSMUSG00000038295","Apg9l2","5","protein_coding","abnormal eye morphology","ATG9B"
"Usp3",235441,"ubiquitin specific peptidase 3, transcript variant 3","ENSMUSG00000032376",NA,"9","protein_coding","decreased circulating LDL cholesterol level","USP3"
"Acta2",11475,"actin, alpha 2, smooth muscle, aorta","ENSMUSG00000035783","0610041G09Rik","19","protein_coding","abnormal aorta elastic tissue morphology","ACTA2"
"Wdr24",268933,"WD repeat domain 24","ENSMUSG00000025737",NA,"17","protein_coding","decreased grip strength","WDR24"
"Zw10",26951,"zw10 kinetochore protein","ENSMUSG00000032264","6330566F14Rik","9","protein_coding",NA,"ZW10"
"Ubtd2",327900,"ubiquitin domain containing 2","ENSMUSG00000044949","9630054F20Rik","11","protein_coding",NA,"UBTD2"
"Slc6a4",15567,"solute carrier family 6 (neurotransmitter transporter, serotonin), member 4, transcript variant X4","ENSMUSG00000020838","5-HTT","11","protein_coding","abnormal action potential","SLC6A4"
"Cog1",16834,"component of oligomeric golgi complex 1, transcript variant X1","ENSMUSG00000018661",NA,"11","protein_coding","decreased lean body mass","COG1"
"S100a9",20202,"S100 calcium binding protein A9 (calgranulin B), transcript variant 2","ENSMUSG00000056071","60B8Ag","3","protein_coding","abnormal cellular extravasation",NA
"Nadk",192185,"NAD kinase, transcript variant 2","ENSMUSG00000029063","4432404C02Rik","4","protein_coding","decreased total body fat amount","NADK"
"Col6a1",12833,"collagen, type VI, alpha 1","ENSMUSG00000001119","Col6a-1","10","protein_coding","abnormal diaphragm morphology","COL6A1"
"Susd2",71733,"sushi domain containing 2, transcript variant 2","ENSMUSG00000006342","1200011D11Rik","10","protein_coding",NA,"SUSD2"
"Fam53b",77938,"family with sequence similarity 53, member B, transcript variant X1","ENSMUSG00000030956","A930008G19Rik","7","protein_coding","abnormal auditory brainstem response","FAM53B"
"Npas1",18142,"neuronal PAS domain protein 1, transcript variant X1","ENSMUSG00000001988","bHLHe11","7","protein_coding",NA,"NPAS1"
"Rhbdf1",13650,"rhomboid family 1 (Drosophila), transcript variant X8","ENSMUSG00000020282","Dist","11","protein_coding","preweaning lethality incomplete penetrance","RHBDF1"
"Cacnb1",12295,"calcium channel, voltage-dependent, beta 1 subunit, transcript variant 2","ENSMUSG00000020882","Cchb1","11","protein_coding","abnormal limb morphology","CACNB1"
"Zfp579",68490,"zinc finger protein 579","ENSMUSG00000051550","1110003A17Rik","7","protein_coding","hypoactivity","ZNF579"
"Dtx4",207521,"deltex 4 homolog (Drosophila), transcript variant X2","ENSMUSG00000039982","RNF155","19","protein_coding","abnormal heart morphology","DTX4"
"Chrm3",12671,"cholinergic receptor, muscarinic 3, cardiac, transcript variant X1","ENSMUSG00000046159","Chrm-3","13","protein_coding","abnormal brain wave pattern","CHRM3"
"Plcl2",224860,"phospholipase C-like 2, transcript variant X2","ENSMUSG00000038910","Plce2","17","protein_coding","abnormal B cell physiology","PLCL2"
"Ptprj",19271,"protein tyrosine phosphatase, receptor type, J, transcript variant 2","ENSMUSG00000025314","Byp","2","protein_coding","abnormal B cell differentiation","PTPRJ"
"Cyhr1",54151,"cysteine and histidine rich 1, transcript variant 1","ENSMUSG00000053929","1110031M01Rik","15","protein_coding",NA,"CYHR1"
"Stx5a",56389,"syntaxin 5A, transcript variant 2","ENSMUSG00000010110","0610031F24Rik","19","protein_coding","abnormal optic disk morphology","STX5"
"Smim8",66291,"small integral membrane protein 8, transcript variant X3","ENSMUSG00000028295","1810030N24Rik","4","protein_coding","abnormal heart morphology","SMIM8"
"Pappa2",23850,"pappalysin 2, transcript variant X2","ENSMUSG00000073530","PAPP-A2","1","protein_coding","abnormal coccyx morphology","PAPPA2"
"Stbd1",52331,"starch binding domain 1","ENSMUSG00000047963","D530019K15Rik","5","protein_coding","decreased prepulse inhibition","STBD1"
"Rln3",212108,"relaxin 3","ENSMUSG00000045232","M3","8","protein_coding","abnormal behavior","RLN3"
"Ldlr",16835,"low density lipoprotein receptor, transcript variant 1","ENSMUSG00000032193",NA,"9","protein_coding","abnormal auditory brainstem response","LDLR"
"Bmp2",12156,"bone morphogenetic protein 2","ENSMUSG00000027358","Bmp2a","2","protein_coding","abnormal chorion morphology","BMP2"
"Itga10",213119,"integrin, alpha 10","ENSMUSG00000090210",NA,"3","protein_coding","abnormal cartilage development","ITGA10"
"Unc45a",101869,"unc-45 homolog A (C. elegans), transcript variant X2","ENSMUSG00000030533",NA,"7","protein_coding","decreased heart rate","UNC45A"
"Hap1",15114,"huntingtin-associated protein 1, transcript variant X2","ENSMUSG00000006930","HAP-1","11","protein_coding","preweaning lethality complete penetrance","HAP1"
"Gm35339",102638882,"predicted gene, 35339, transcript variant X5","ENSMUSG00000109179",NA,"15","protein_coding",NA,NA
"Serpinb8",20725,"serine (or cysteine) peptidase inhibitor, clade B, member 8, transcript variant X1","ENSMUSG00000026315","CAP-2","1","protein_coding",NA,"SERPINB8"
"Tmem200c",622645,"transmembrane protein 200C","ENSMUSG00000095407","Gm6338","17","protein_coding",NA,"TMEM200C"
"Ngb",64242,"neuroglobin, transcript variant 2","ENSMUSG00000021032",NA,"12","protein_coding","delayed circadian behavior phase","NGB"
"Myh11",17880,"myosin, heavy polypeptide 11, smooth muscle, transcript variant 2","ENSMUSG00000018830","SM1","16","protein_coding","abnormal airway resistance","MYH11"
"Ass1",11898,"argininosuccinate synthetase 1","ENSMUSG00000076441","ASS","2","protein_coding","abnormal Bergmann glial cell morphology","ASS1"
"Ccdc28b",66264,"coiled coil domain containing 28B","ENSMUSG00000028795","1110002E08Rik","4","protein_coding",NA,"CCDC28B"
"Vsx2",12677,"visual system homeobox 2, transcript variant 1","ENSMUSG00000021239","Chx10","12","protein_coding","Harderian gland hypertrophy","VSX2"
"Klhl1",93688,"kelch-like 1","ENSMUSG00000022076",NA,"14","protein_coding","abnormal gait","KLHL1"
"Slit1",20562,"slit homolog 1 (Drosophila), transcript variant X1","ENSMUSG00000025020","Slil1","19","protein_coding",NA,"SLIT1"
"Rbm10",236732,"RNA binding motif protein 10, transcript variant 2","ENSMUSG00000031060","E430039K10Rik","X","protein_coding","no abnormal phenotype detected","RBM10"
"Sgk1",20393,"serum/glucocorticoid regulated kinase 1, transcript variant 1","ENSMUSG00000019970","Sgk","10","protein_coding","abnormal renal sodium ion transport","SGK1"
"Zbtb24",268294,"zinc finger and BTB domain containing 24, transcript variant X3","ENSMUSG00000019826","ZNF450","10","protein_coding","abnormal lens morphology","ZBTB24"
"Kif5a",16572,"kinesin family member 5A, transcript variant 1","ENSMUSG00000074657","D10Bwg0738e","10","protein_coding","abnormal auditory brainstem response","KIF5A"
"Alox8",11688,"arachidonate 8-lipoxygenase","ENSMUSG00000020891","8-LOX","11","protein_coding","abnormal susceptibility to Orthomyxoviridae infection","ALOX15B"
"Rgcc",66214,"regulator of cell cycle","ENSMUSG00000022018","1190002H23Rik","14","protein_coding","abnormal epididymis morphology","RGCC"
"Olfr1033",258571,"olfactory receptor 1033, transcript variant X3","ENSMUSG00000045392","GA_x6K02T2Q125-47516301-47517233","2","protein_coding",NA,"OR5M3"
"Lrrn4",320974,"leucine rich repeat neuronal 4, transcript variant X1","ENSMUSG00000043110","B430119L13Rik","2","protein_coding","abnormal spatial learning","LRRN4"
"Trim59",66949,"tripartite motif-containing 59, transcript variant X6","ENSMUSG00000034317","2310035M22Rik","3","protein_coding","abnormal eye anterior chamber depth","TRIM59"
"Pnma2",239157,"paraneoplastic antigen MA2, transcript variant X2","ENSMUSG00000046204","A830049P17Rik","14","protein_coding","abnormal circulating aspartate transaminase level","PNMA2"
"Arc",11838,"activity regulated cytoskeletal-associated protein, transcript variant 2","ENSMUSG00000022602","Arc3.1","15","protein_coding","abnormal AMPA-mediated synaptic currents","ARC"
"Lypd6b",71897,"LY6/PLAUR domain containing 6B, transcript variant X4","ENSMUSG00000026765","2310010M24Rik","2","protein_coding","decreased circulating insulin level","LYPD6B"
"Prkar2b",19088,"protein kinase, cAMP dependent regulatory, type II beta, transcript variant X1","ENSMUSG00000002997","Pkarb2","12","protein_coding","abnormal energy expenditure","PRKAR2B"
"Gabrd",14403,"gamma-aminobutyric acid (GABA) A receptor, subunit delta","ENSMUSG00000029054",NA,"4","protein_coding","abnormal contextual conditioning behavior","GABRD"
"Sh3gl1",20405,"SH3-domain GRB2-like 1, transcript variant X1","ENSMUSG00000003200","EEN","17","protein_coding","no abnormal phenotype detected","SH3GL1"
"Rab9b",319642,"RAB9B, member RAS oncogene family","ENSMUSG00000043463","9330195C02Rik","X","protein_coding",NA,"RAB9B"
"Slc9a2",226999,"solute carrier family 9 (sodium/hydrogen exchanger), member 2","ENSMUSG00000026062","2210416H12Rik","1","protein_coding","abnormal fertility/fecundity","SLC9A2"
"Gata3",14462,"GATA binding protein 3, transcript variant X1","ENSMUSG00000015619","Gata-3","2","protein_coding","abnormal T cell differentiation","GATA3"
"Rnd3",74194,"Rho family GTPase 3","ENSMUSG00000017144","2610017M01Rik","2","protein_coding","enlarged heart","RND3"
"Tdgf1",21667,"teratocarcinoma-derived growth factor 1","ENSMUSG00000032494","CR1","9","protein_coding","abnormal amnion morphology","TDGF1"
"Tph2",216343,"tryptophan hydroxylase 2","ENSMUSG00000006764",NA,"10","protein_coding","abnormal autonomic nervous system physiology","TPH2"
"Gprc5c",70355,"G protein-coupled receptor, family C, group 5, member C, transcript variant X4","ENSMUSG00000051043","1110028I06Rik","11","protein_coding","decreased mean corpuscular hemoglobin concentration","GPRC5C"
"Syt16",238266,"synaptotagmin XVI, transcript variant X2","ENSMUSG00000044912","Strep14","12","protein_coding","decreased total body fat amount","SYT16"
"Cdyl",12593,"chromodomain protein, Y chromosome-like, transcript variant X2","ENSMUSG00000059288",NA,"13","protein_coding","decreased circulating creatine kinase level","CDYL"
